district,Latitude,Longitude,rent,bedrooms,living-dining,bathrooms,loft,sqmeters,entire_building,building_type,use_type_en,heat,ac,balcony,WIFI,outdoor_space,bathtub,floor_heat,oven,total_amens
Changning,31.21278,121.56217,4000,1,0,1,0,45,0,public housing,residential,0,1,0,0,1,0,0,0,2
Huangpu,31.21278,121.56217,4000,1,1,1,0,25,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4000,1,0,1,0,40,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4000,1,1,1,1,40,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.21278,121.56217,4000,1,0,1,0,24,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4000,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4000,1,1,1,0,28,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.21278,121.56217,4000,1,1,1,0,30,0,attached lane house,multi-use,0,1,0,0,1,0,0,0,2
Jing'an,31.21278,121.56217,4000,1,1,1,0,20,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4000,1,1,1,0,25,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.20809225,121.4626095,4000,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4000,2,2,1,1,40,0,attached lane house,residential,0,1,1,0,0,0,0,0,2
Putuo,31.21278,121.56217,4091,1,1,1,0,37,0,public housing,residential,0,1,1,0,0,0,0,0,2
Huangpu,31.20809225,121.4626095,4100,1,1,1,1,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,31.21278,121.56217,4100,1,1,1,0,40,0,public housing,multi-use,0,1,1,1,1,1,0,0,5
Xuhui,31.21278,121.56217,4100,1,0,1,0,18,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,31.21278,121.56217,4200,1,0,1,0,36,0,public housing,residential,0,1,1,0,0,0,0,0,2
Jing'an,31.21278,121.56217,4200,1,0,1,0,25,0,attached lane house,residential,0,1,1,0,0,0,0,0,2
Huangpu,31.21278,121.56217,4200,1,0,1,0,28,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,31.21278,121.56217,4200,2,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
